Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
59,C Connor Zilisch PR,465.3875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Connor Zilisch Primary,,,,
60,C Shane Van Gisbergen PR,463.8250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Shane Van Gisbergen Primary,,,,
61,C Corey Lajoie PR,453.7375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Corey Lajoie Primary,,,,
62,C Ross Chastain BK,469.3875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Ross Chastain Backup,,,,
63,C Austin Cindric BK,468.8875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Austin Cindric Backup,,,,
64,C Austin Dillon BK,467.3750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Austin Dillon Backup,,,,
65,C Noah Gragson BK,463.9625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Noah Gragson Backup,,,,
66,C Kyle Larson BK,458.7625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Kyle Larson Backup,,,,
67,C Brad Keselowski BK,461.3500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Brad Keselowski Backup,,,,
68,C Daniel Suarez BK,468.6750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Daniel Suarez Backup,,,,
69,C Kyle Busch BK,457.6750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Kyle Busch Backup,,,,
